text,source,topic
IOis therefore done through ﬁles or through a GUI interface.,textbook_chunk_193,process_management
"Meanwhile, the user is free to ask the shell to run other programs, to monitor the progress of the running process, to change that programs priority, and so on.",textbook_chunk_194,process_management
"When the process is done, it executes an exit() system call to terminate, returning to the invoking process a status code of 0 or a nonzero error code.",textbook_chunk_195,process_management
This status or error code is th en available to the shell or other programs.,textbook_chunk_196,process_management
Processes are discussed in Chapter 3 with a program example using thefork() andexec() system calls.,textbook_chunk_197,process_management
2.4.2 File Management,textbook_chunk_198,process_management
The ﬁle system is discussed in more detail in Chapters 11 and 12.,textbook_chunk_199,process_management
"We can, however, identify several common system calls dealing with ﬁles.",textbook_chunk_200,process_management
We ﬁrst need to be able to create() anddelete() ﬁles.,textbook_chunk_201,process_management
Either system call requires the name of the ﬁle and perhaps some of the ﬁles attributes.,textbook_chunk_202,process_management
"Once the ﬁle is created, we need to open() it and to use it.",textbook_chunk_203,process_management
"We may also read() , write() ,o rreposition() (rewind or skip to the end of the ﬁle, for example).",textbook_chunk_204,process_management
"Finally, we need to close() the ﬁle, indicating that we are no longer using it.",textbook_chunk_205,process_management
We may need these same sets of operations for directories if we have a directory structure for organizing ﬁles in the ﬁle system.,textbook_chunk_206,process_management
"In addition, for either ﬁles or directories, we need to be able to determine the values of various attributes and perhaps to reset them if necessary.",textbook_chunk_207,process_management
"File attributes include the ﬁle name, ﬁle type, protection codes, accounting information, and so on.",textbook_chunk_208,process_management
"At least two system calls, get file attributes() andset file attributes() ,a r e required for this function.",textbook_chunk_209,process_management
"Some operating systems provide many more calls, such as calls for ﬁle move() and copy() .O",textbook_chunk_210,process_management
"ea n APIthat performs those operations using code and other system calls, and others might provide system programs to perform those tasks.",textbook_chunk_211,process_management
"If the system programs are callable by other programs, then each can be considered an APIby other system programs.",textbook_chunk_212,process_management
"2.4.3 Device Management Ap r o c e s sm a yn e e ds e v e r a lr e s o u r c e st oe x e c u t e  m a i nm e m o r y ,",textbook_chunk_213,process_management
"i s kd r i v e s , access to ﬁles, and so on.",textbook_chunk_214,process_management
"If the resour ces are available, they can be granted, and control can be returned to the user process.",textbook_chunk_215,process_management
"Otherwise, the process will have to wait until sufﬁcient resources are available.",textbook_chunk_216,process_management
The various resources controlled by the operating system can be thought of as devices.,textbook_chunk_217,process_management
"Some of these devices are physical devices (for example, disk drives), while others can be thought of as abstract or virtual devices (for example, ﬁles).",textbook_chunk_218,process_management
"A system with multiple users may require us to ﬁrst request() ad e v i c e ,t oe n s u r ee x c l u s",textbook_chunk_219,process_management
"f t e r we are ﬁnished with the device, we release() it.",textbook_chunk_220,process_management
These functions are similar to the open() and close() system calls for ﬁles.,textbook_chunk_221,process_management
Other operating systems allow unmanaged access to devices.,textbook_chunk_222,process_management
ew Anoperating system acts as an intermediary between the user of a computer and the computer hardware.,textbook_chunk_223,general
The purpose of an operating system is to provide an environment in which a user can execute programs in a convenient andefﬁcient manner.,textbook_chunk_224,general
An operating system is software that manages the computer hard- ware.,textbook_chunk_225,general
The hardware must provide appropriate mechanisms to ensure the correct operation of the computer system and to prevent user programs from interfering with the proper operation of the system.,textbook_chunk_226,general
"Internally, operating systems vary greatly in their makeup, since they are organized along many different lines.",textbook_chunk_227,general
The design of a new operating system is a major task.,textbook_chunk_228,general
It is important that the goals of the system be well deﬁned before the design begins.,textbook_chunk_229,general
These goals form the basis for choices among various algorith ms and strategies.,textbook_chunk_230,general
"Because an operating system is large and complex, it must be created piece by piece.",textbook_chunk_231,general
"Each of these pieces should be a well-delineated portion of the system, with carefully deﬁned inputs, outputs, and functions.",textbook_chunk_232,general
erating-System Structureslayer N user interface  layer 1 layer 0 hardware Figure 2.13 Al a y e r e do p e r a t,textbook_chunk_233,general
An operating-system layer is an implementation of an abstract object made up of data and the operations that can manipulate those data.,textbook_chunk_234,general
"A typical operating-system layersay, layer Mconsists of data structures and a set of routines that can be invoked by higher-level layers.",textbook_chunk_235,general
"Layer M,in turn, can invoke operations on lower-level layers.",textbook_chunk_236,general
The main advantage of the layered approach is simplicity of construction and debugging.,textbook_chunk_237,general
The layers are selected so that each uses functions (operations) and services of only lower-level layers.,textbook_chunk_238,general
Th is approach simpliﬁes debugging and system veriﬁcation.,textbook_chunk_239,general
"The ﬁrst layer can be debugged without any concern for the rest of the system, because, by deﬁnition, it uses only the basic hardware (which is assumed correct) to implement its functions.",textbook_chunk_240,general
"Once the ﬁrst layer is debugged, its correct functioning can be assumed while the second layer is debugged, and so on.",textbook_chunk_241,general
"If an error is found during the debugging of a particular layer, the error must be on that layer, because the layers below it are already debugged.",textbook_chunk_242,general
"Thus, the design and implementation of the system are simpliﬁed.",textbook_chunk_243,general
Each layer is implemented only with operations provided by lower-level layers.,textbook_chunk_244,general
A layer does not need to know how these operations are implemented; it needs to know only what these operations do.,textbook_chunk_245,general
"Hence, each layer hides the existence of certain data structures, operations, and hardware from higher-level layers.",textbook_chunk_246,general
The major difﬁculty with the layered approach involves appropriately deﬁning the various layers.,textbook_chunk_247,general
"Because a layer can use only lower-level layers, careful planning is necessary.",textbook_chunk_248,general
"For example, the device driver for the backing store (disk space used by virtual-memory algorithms) must be at a lower level than the memory-management ro utines, because memory management requires the ability to use the backing store.",textbook_chunk_249,general
Other requirements may not be so obvious.,textbook_chunk_250,general
"The backing-store driver would normally be above the CPU scheduler, because the driver may need to wait for IOand",textbook_chunk_251,general
the CPU can be rescheduled during this time.,textbook_chunk_252,general
erating-System Structures,textbook_chunk_253,general
The user interface can vary from system to system and even from user to user within a system.,textbook_chunk_254,general
It typically is substantially removed from the actual system structure.,textbook_chunk_255,general
The design of a useful and friendly user interface is therefore not a direct function of the operating system.,textbook_chunk_256,general
"In this book, we concentrate on the fundamental problems of providing adequate service to user programs.",textbook_chunk_257,general
"From the point of view of the operating system, we do not distinguish between user programs and system programs.",textbook_chunk_258,general
2.3 System Calls System calls provide an interface to the services made available by an operating system.,textbook_chunk_259,general
"These calls are generally available as routines written in C and C, although certain low-level tasks (for example, tasks where hardware must be accessed directly) may have to be written using assembly-language instructions.",textbook_chunk_260,general
"Before we discuss how an operating system makes system calls available, lets ﬁrst use an example to illustrate how system calls are used: writing a simple program to read data from one ﬁle and copy them to another ﬁle.",textbook_chunk_261,general
The ﬁrst input that the program will need is the names of the two ﬁles: the input ﬁle and the output ﬁle.,textbook_chunk_262,general
"These names can be speciﬁed in many ways, depending on the operating-system design.",textbook_chunk_263,general
One approach is for the program to ask the user for the names.,textbook_chunk_264,general
"In an interactive system, this approach will require a sequence of system calls, ﬁrst to write a prompting message on the screen and then to read from the keyboard the characters that deﬁne the two ﬁles.",textbook_chunk_265,general
"On mouse-based and icon-based systems, a menu of ﬁle names is usually displayed in a window.",textbook_chunk_266,general
"The user can then use the mouse to select the source name, and a window can be opened for the destination name to be speciﬁed.",textbook_chunk_267,general
This sequence requires many IOsystem calls.,textbook_chunk_268,general
"Once the two ﬁle names have been ob tained, the program must open the input ﬁle and create the output ﬁle.",textbook_chunk_269,general
Each of these operations requires another system call.,textbook_chunk_270,general
Possible error conditions for each operation can require additional system calls.,textbook_chunk_271,general
"When the program tries to open the input ﬁle, for example, it may ﬁnd that there is no ﬁle of that name or that the ﬁle is protected against access.",textbook_chunk_272,general
"In these cases, the program should print a message on the console (another sequence of system calls) and then terminate abnormally (another system call).",textbook_chunk_273,general
"If the input ﬁle exists, then we must create a new output ﬁle.",textbook_chunk_274,general
We may ﬁnd that there is already an output ﬁle with the same name.,textbook_chunk_275,general
"This situation may cause the program to abort (a system call), or we may delete the existing ﬁle (another system call) and create a new one (yet another system call).",textbook_chunk_276,general
"Another option, in an interactive system, is to ask the user (via a sequence of system calls to output the prompting message and to read the response from the terminal) whether to replace the existing ﬁle or to abort the program.",textbook_chunk_277,general
"When both ﬁles are set up, we enter a loop that reads from the input ﬁle (a system call) and writes to the output ﬁle (another system call).",textbook_chunk_278,general
Each read and write must return status information regarding various possible error conditions.,textbook_chunk_279,general
"On input, the program may ﬁnd that the end of the ﬁle has been reached or that there was a hardware failure in the read (such as a parity error).",textbook_chunk_280,general
"The write operation may encounter various errors, depending on the output device (for example, no more disk space).",textbook_chunk_281,general
n 365 logical address subroutine stack symbol table main programSqrt Figure 8.7 Programmers view of a program.,textbook_chunk_282,general
Each segment has a name and a length.,textbook_chunk_283,general
The addresses specify both the segment name and the offset within the segment.,textbook_chunk_284,general
The programmer therefore speciﬁes each address by two quantities: a segment name and an offset.,textbook_chunk_285,general
"For simplicity of implementation, segments are numbered and are referred to by a segment number, rather than by a segment name.",textbook_chunk_286,general
"Thus, a logical address consists of a two tuple: segment-number, offset .",textbook_chunk_287,general
"Normally, when a program is compiled, the compiler automatically constructs segments reﬂecting the input program.",textbook_chunk_288,general
"A C compiler might create separate segments for the following: 1.The code 2.Global variables 3.The heap, from which memory is allocated 4.The stacks used by each thread 5.The standard C library Libraries that are linked in during compile time might be assigned separate segments.",textbook_chunk_289,general
The loader would take all these segments and assign them segment numbers.,textbook_chunk_290,general
8.4.2 Segmentation Hardware,textbook_chunk_291,general
"Although the programmer can now refer to objects in the program by a two-dimensional address, the actual physical memory is still, of course, a one- dimensional sequence of bytes.",textbook_chunk_292,general
